CHEMBL ID,AlogP,Smiles,Standard Value,Standard Units
CHEMBL50415,2.9,O=C(Nc1ccccc1)c1cc2cc(O)c(O)cc2cn1,5600,nM
CHEMBL89550,3.3,c1ccc2ncc(-c3ccncc3)cc2c1,,nM
CHEMBL3608432,2.02,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3C)c3ncn(C(C)C)c3n2)C[C@H]1F,4,nM
CHEMBL4206501,4.51,C=CC(=O)Nc1cc(Nc2ccnc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,13,nM
CHEMBL3786098,2.13,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1,7,nM
CHEMBL3883534,4.3,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,1,nM
CHEMBL4067707,0.5,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCN4C[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO)cc23)c1,,
CHEMBL1561,-3.26,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,,
CHEMBL346863,4.81,Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,40,nM
CHEMBL4091166,7.63,O=C(Nc1ccc2nccc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OCC1(OO2)C2CC3CC(C2)CC1C3,10000,nM
CHEMBL554,6.14,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,27.06,nM
CHEMBL168266,2.38,Nc1ncnc2c1c(-c1ccccc1)cn2C1CC(O)C1,2820,nM
CHEMBL3902295,3.34,O=C(CCl)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(F)c(F)c4)c3cc21,4700,nM
CHEMBL3917657,4.52,CC(C)(C)c1ccc(Nc2ncnc3cc4oc(=O)n(CCOC(=O)CBr)c4cc23)cc1,870,nM
CHEMBL2179124,5.43,Fc1ccc(-c2nc(-c3ccccc3)[nH]c2-c2ccnc3[nH]ccc23)cc1,712,nM
CHEMBL4077917,7.44,CCC(=O)Nc1cccc(-c2cc3c(-c4[nH]c(-c5ccccc5)nc4-c4ccc(F)cc4)ccnc3[nH]2)c1,18.7,nM
CHEMBL4100647,5.5,CC1(C)OOC2(CCC(C(=O)Nc3ccc4ncnc(Nc5cccc(Cl)c5)c4c3)CC2)OO1,17.15,nM
CHEMBL4067373,6.91,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,373.7,nM
CHEMBL4082840,7.03,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OCC1(OO2)C2CC3CC(C2)CC1C3,112.4,nM
CHEMBL4067373,6.91,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,10000,nM
CHEMBL3929584,5.71,C=Cc1ccc(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3o2)cc1,29,nM
CHEMBL4098072,5.88,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,1,nM
CHEMBL179310,5.87,CCOc1cc2ncc(C#N)c(Nc3ccc4c(c3)CCN4Cc3ccccc3)c2cc1NC(=O)/C=C/CN(C)C,340,nM
CHEMBL4637274,5.41,C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,2.4,nM
CHEMBL175840,5.27,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nccn4C)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,500,nM
CHEMBL3360604,5.53,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],0.52,nM
CHEMBL3360615,7.5,COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],35.5,nM
CHEMBL3360617,4.72,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],0.49,nM
CHEMBL367492,8.23,CCOc1cc2ncc(C#N)c(Nc3ccc(Sc4nc(-c5ccccc5)cs4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,125,nM
CHEMBL4447036,5.59,C=CS(=O)(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,3675,nM
CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,29,nM
CHEMBL4447289,3.55,C=CC(=O)Nc1cccc(-c2noc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,416,nM
CHEMBL4468924,5.18,CC1CCN(C/C=C/C(=O)N2CCOc3cc4ncnc(Nc5ccc(F)c(Cl)c5)c4cc32)CC1,5,nM
CHEMBL1998736,3.48,O=C(/C=C/c1ccccc1)Nc1ccccc1F,7370,nM
CHEMBL2441561,3.78,O=C(/C=C/CN1CCOCC1)N1CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,7,nM
CHEMBL4521381,5.76,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,0.133,nM
CHEMBL3891846,5.96,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN4CCCCC4)cc3)cc12)c1ccccc1,0.6,nM
CHEMBL4531827,7.24,CC(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,10000,nM
CHEMBL1173655,4.39,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,22,nM
CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,6746,nM
CHEMBL4556670,4.63,C=CC(=O)Nc1cccc(-c2csc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,2316,nM
CHEMBL4276965,2.63,COc1ccc(OC)c(Nc2cc(Nc3ccc(S(N)(=O)=O)cc3)ncn2)c1,467,nM
CHEMBL4288300,3.99,COc1cccc(Nc2cc(Nc3cc(OC)ccc3OC)ncn2)c1,7.7,nM
CHEMBL4294156,2.42,COc1cccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,12,nM
CHEMBL3901622,5.04,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN(C)C)cc3)cc12)c1ccccc1,0.4,nM
CHEMBL2347958,4.39,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCOC1,0.5,nM
CHEMBL4286374,6.11,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1ccc(C(F)(F)F)cc1O,120,nM
CHEMBL31965,4.39,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0.3,nM
CHEMBL1916891,4.15,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,17.2,nM
CHEMBL4639459,4.72,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F,126.8,nM
CHEMBL3355879,3.94,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCn4ccnc4[N+](=O)[O-])cc23)c1,1.08,nM
CHEMBL4454709,6.46,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccc(F)cc34)n1)CSCC2,2000,nM
CHEMBL4472571,5.01,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccccc34)n1)CS(=O)(=O)CC2,2000,nM
CHEMBL4476689,6.22,CC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccc(F)cc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,1128,nM
CHEMBL334255,6.46,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3472,nM
CHEMBL498,1.74,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,,
CHEMBL871,-0.99,CC(O)(P(=O)(O)O)P(=O)(O)O,,
CHEMBL4452906,8.25,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C(=O)OCCCCO[N+](=O)[O-])CC[C@]23C)C1(C)C,100,nM
CHEMBL3545311,5.09,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,130,nM
CHEMBL4454172,9.55,CC1(C)CC[C@]2(C(=O)OCCCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)c6ccccc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,20000,nM
CHEMBL3355877,5.92,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],0.32,nM
CHEMBL3355881,4.72,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.49,nM
CHEMBL3355882,5.11,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.5,nM
CHEMBL3355883,6.33,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],38.3,nM
CHEMBL3355886,7.5,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],15.1,nM
CHEMBL4218431,3.28,N#Cc1ccc(O)c(-c2nc(NCc3cnccn3)c3ccccc3n2)c1,85.2,nM
CHEMBL3426225,4.16,CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,3518,nM
CHEMBL388978,4.35,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,58.7,nM
CHEMBL388978,4.35,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,41,nM
CHEMBL388978,4.35,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,12.6,nM
CHEMBL4647073,4.86,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccc(F)cc34)n2)c(OC)cc1F,332.2,nM
CHEMBL487894,0.77,Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.[Na+],,
CHEMBL36727,4.63,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,22,nM
CHEMBL6273,1.7,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,,
CHEMBL219916,3.35,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,,
CHEMBL2315699,5.03,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,148,ug.mL-1
CHEMBL4062178,3.47,Cc1cc(Nc2ncc3c(n2)N([C@H]2CCN(C(=O)CO)C2)C(=O)N(c2ccccc2Cl)C3)ccc1N1CCN(C)CC1,7,nM
CHEMBL4096988,4.63,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5C[C@@H]6CN(C)C[C@@H]6C5)c(C)c4)nc32)C1,216,nM
CHEMBL137364,4.25,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64,nM
CHEMBL4277911,5.06,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(CC)CCN(C)C,0.8,nM
CHEMBL4290568,4.97,C=C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5.2,nM
CHEMBL4279057,4.81,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)C1,18.9,nM
CHEMBL77243,3.47,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,55000,nM
CHEMBL308339,-1.3,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,1400000,nM
CHEMBL4531006,1.04,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)c(Br)c32)N1,8.5,ug.mL-1
CHEMBL197568,5.64,CCOC(=O)c1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1Cc1ccccc1,25000,nM
CHEMBL29197,4.15,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,400,nM
CHEMBL1173655,4.39,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.4,nM
CHEMBL2103842,5.25,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1,7,nM
CHEMBL2408045,3.76,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,4,nM
CHEMBL24828,5,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,500,nM
CHEMBL4475004,2.61,COc1cc2cn[nH]c2cc1-c1ccc(F)c2c(N)c(C(N)=O)cnc12,2000,nM
CHEMBL2113092,3.74,CCCCOc1cc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C(=O)c1c(F)cccc1F,100000,nM
CHEMBL3353410,4.51,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,16,nM
CHEMBL4471845,5.87,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,31,nM
CHEMBL4475770,4.9,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccc(F)cc34)n1)CS(=O)(=O)CC2,2000,nM
CHEMBL4436731,4.37,CSc1cc2c(N[C@H](C)c3ccc(F)cc3)nc(C)nc2cn1,20000,nM
CHEMBL1830258,3.59,NC(=S)N/N=C(/C=C/c1ccccc1Cl)c1ccccc1,23270,nM
CHEMBL1830260,2.95,COc1ccccc1/C=C/C(=N/NC(N)=S)c1ccccc1,33000,nM
CHEMBL1830263,2.85,NC(=S)N/N=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1,3740,nM
CHEMBL1830268,2.95,COc1ccc(/C=C/C(=N/NC(N)=S)c2ccccc2)cc1,14830,nM
CHEMBL1830269,2.85,NC(=S)N/N=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1,1570,nM
CHEMBL1830277,4.24,NC(=S)N/N=C(/C=C/c1ccccc1)c1ccc(Cl)c(Cl)c1,9780,nM
CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,4,nM
CHEMBL2011291,6.28,Nc1c(-c2ccc(F)cc2)c(-c2ccncc2)nn1-c1c(Cl)cc(Cl)cc1Cl,2000,nM
CHEMBL2011291,6.28,Nc1c(-c2ccc(F)cc2)c(-c2ccncc2)nn1-c1c(Cl)cc(Cl)cc1Cl,150,nM
CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1.4,nM
CHEMBL4537422,6.65,CC1(C)CC[C@]2(C(=O)OCCCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,190,nM
CHEMBL4554092,9.45,CC1(C)CC[C@]2(C(=O)OCCCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)c6ccc([N+](=O)[O-])cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,20000,nM
CHEMBL4452906,8.25,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C(=O)OCCCCO[N+](=O)[O-])CC[C@]23C)C1(C)C,20,nM
CHEMBL3353410,4.51,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,90,nM
CHEMBL4126630,3.45,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)c1,1,nM
CHEMBL25579,5.08,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,300,nM
CHEMBL25579,5.08,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,200,nM
CHEMBL4129646,3.76,C=CC(=O)Nc1cccc(-n2c(=O)n(CCC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,0.4,nM
CHEMBL37346,4.74,Brc1cccc(Nc2ccnc3ccccc23)c1,5500,nM
CHEMBL976,2.53,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,,
CHEMBL61,2.41,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,,
CHEMBL45827,6.45,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,240,nM
CHEMBL1946845,3.11,CNc1nc(N/N=C\c2ccc(OC)cc2)nc(Nc2ccccc2)n1,100000,nM
CHEMBL1947204,5.87,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,,
CHEMBL1944925,3.26,O=C(NNC(=O)c1ncc(Cc2ccsc2)s1)Nc1ccccc1,100000,nM
CHEMBL1944927,3.97,CCc1ccc(C(=O)NNc2ccc(Cl)cc2C)cc1,100000,nM
CHEMBL1944929,2.87,C=CCn1c(N)c(C(=O)N/N=C/c2cccs2)sc1=S,100000,nM
CHEMBL1944931,4.8,CCOC(=O)c1ccc(NC(=O)CSc2nnc(CNc3ccc(OC)cc3)n2-c2ccccc2)cc1,92400,nM
CHEMBL1946843,4.2,CN(C)c1nc(N/N=C/c2cc(Br)c(O)c(Br)c2O)nc(Nc2ccc(F)cc2)n1,6500,nM
CHEMBL1946846,2.02,COc1nc(NCCN2CCOCC2)nc(Nc2ccc(Cl)cc2)n1,1500,nM
CHEMBL486400,6.21,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,20000,nM
CHEMBL4454172,9.55,CC1(C)CC[C@]2(C(=O)OCCCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)c6ccccc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,20000,nM
CHEMBL120719,2.15,COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O,54000,nM
CHEMBL1006,-0.25,NCCCNCCSP(=O)(O)O,,
CHEMBL131,1.56,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,,
CHEMBL4534719,6.3,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)sc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,1.15,nM
CHEMBL4514452,6.85,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](C)c4ccccc4)c23)c1,0.214,nM
CHEMBL4463012,6.54,CCN(CC)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,131,nM
CHEMBL4521381,5.76,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,48,nM
CHEMBL304336,3.98,COc1cc2cc(-c3cccs3)cnc2cc1OC,20000,nM
CHEMBL31437,3.98,CN(C)CCOc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cn1,10000,nM
CHEMBL24828,5,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,500,nM
CHEMBL4071368,5.62,C=CC(=O)Nc1cc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)cc(N2CCN(C)CC2)c1,1,nM
CHEMBL4091569,5.11,OCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,83,nM
CHEMBL4062543,5.28,C=CC(=O)NCCSc1nc(-c2ccccc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,29,nM
CHEMBL4068092,5.19,C=CC(=O)NCc1cn(Cc2cccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)c2)nn1,597,nM
CHEMBL4071368,5.62,C=CC(=O)Nc1cc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)cc(N2CCN(C)CC2)c1,1,nM
CHEMBL4100377,5.34,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C3CCC3)ccn2)c1,1,nM
CHEMBL4071180,5.35,CN(C)C/C=C/C(=O)NCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,1.9,nM
CHEMBL4095071,4.08,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1,1100,nM
CHEMBL4086821,5.17,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCC6(CCN(C)C6)C5)c(C)c4)nc32)C1,295.7,nM
CHEMBL4536115,6.1,COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccccc4C(F)(F)F)cc3F)ccnc2cc1OCCCN1CCOCC1,650,nM
CHEMBL564,4.24,CN(C)CCCN1c2ccccc2Sc2ccccc21,,
CHEMBL4467033,5.76,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OC,15,nM
CHEMBL4518437,5.33,COc1cc(Nc2cc(C)nc3ccc(C(F)(F)F)cc23)cc(OC)c1OC,50000,nM
CHEMBL1230813,-13.05,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,,
CHEMBL4563873,3.55,COc1cc2ncnc(Nc3ccc(F)c(Br)c3)c2cc1OCCCN1CCNCCNCC1,5.6,nM
CHEMBL554,6.14,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,21,nM
CHEMBL4065693,3.66,C=CC(=O)Nc1cccc(CNc2cc(Nc3ccccc3)ncc2C(N)=O)c1,10000,nM
CHEMBL4084214,2.79,CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(F)c3)c3c(N)ncnc32)C1,10000,nM
CHEMBL4083739,3.67,CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,10000,nM
CHEMBL4091966,1.36,C=CC(=O)N1CCC[C@@H](n2nc(I)c3c(N)ncnc32)C1,20,nM
CHEMBL4103121,2.79,CCC(=O)N1CCC[C@@H](n2nc(-c3ccc(F)cc3)c3c(N)ncnc32)C1,5000,nM
CHEMBL4083739,3.67,CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,10000,nM
CHEMBL4082783,2.3,C=CC(=O)N1CCC[C@@H](n2nc(C#CC3CCCC3)c3c(N)ncnc32)C1,60,nM
CHEMBL4103201,2.3,C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1,2,nM
CHEMBL4091966,1.36,C=CC(=O)N1CCC[C@@H](n2nc(I)c3c(N)ncnc32)C1,280,nM
CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1,nM
CHEMBL4069586,2.69,C=CC(=O)N1CCC[C@@H](n2nc(C#CCC3CCCC3)c3c(N)ncnc32)C1,920,nM
CHEMBL939,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,190,nM
CHEMBL122522,4.12,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,6760.83,nM
CHEMBL56219,3.3,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1Cl,2089.3,nM
CHEMBL118205,3.23,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,5248.07,nM
CHEMBL388978,4.35,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,188.3,nM
CHEMBL308466,3.93,COc1cccc(-c2cnc3cc(OC)c(OC)cc3c2)c1,20000,nM
CHEMBL66785,3.91,COc1cc2cc(C3CCCC3)cnc2cc1OC,20000,nM
CHEMBL3353410,4.51,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,5,nM
CHEMBL4570333,5.17,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1SCCN(C)C,14,nM
CHEMBL4441606,4.18,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,6,nM
CHEMBL336409,None,N[C@@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,900,nM
CHEMBL355816,3.03,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.28,nM
CHEMBL4291935,4.06,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2F)c1,500,nM
